product_title,product_price,product_link,product_image,product_features
No title,No Product Price,No product Link,https://rukminim2.flixcart.com/image/612/612/xif0q/cycle/b/m/e/suspension-model-85-assembled-kids-road-20-12-urban-star-23-original-imah8chyaz6n3tym.jpeg?q=70,['No features']
No title,No Product Price,No product Link,https://rukminim2.flixcart.com/image/612/612/xif0q/cycle/e/l/g/selton-m-rim-sky-blue-bicycle-16-16-xaipro-plus-55-single-speed-original-imah3j8xb7cxudcu.jpeg?q=70,['No features']
No title,No Product Price,No product Link,https://rukminim2.flixcart.com/image/612/612/xif0q/cycle/c/t/0/cycles-for-men-with-complete-accessories-bicycles-ut7003s26-26-original-imah6bf8d3kjfr2n.jpeg?q=70,['No features']
No title,No Product Price,No product Link,https://rukminim2.flixcart.com/image/612/612/xif0q/cycle/r/b/u/pro-high-performance-mountain-cycles-for-men-with-dual-disc-original-imah7kxfz86e24qk.jpeg?q=70,['No features']
No title,No Product Price,No product Link,https://rukminim2.flixcart.com/image/612/612/xif0q/cycle/s/5/7/hopper-jetpro-26t-grey-with-90-assembled-26-18-fastway-bicycle-original-imagx6jzuegrerjz.jpeg?q=70,['No features']
No title,No Product Price,No product Link,https://rukminim2.flixcart.com/image/612/612/xif0q/cycle/q/n/i/zoom-14t-bmx-95-assembled-road-cycle-for-2-4-year-kids-black-original-imah8k8axvmrby2d.jpeg?q=70,['No features']
No title,No Product Price,No product Link,https://rukminim2.flixcart.com/image/612/612/xif0q/cycle/b/g/f/14t-matrix-m-rim-with-bottle-bicycle-for-kids-14-13-lsn-rides-55-original-imagyet4xupgncmm.jpeg?q=70,['No features']
No title,No Product Price,No product Link,https://rukminim2.flixcart.com/image/612/612/xif0q/cycle/9/8/r/bolt-cycles-for-men-with-steel-frame-disc-brake-mtb-bike-original-imah6bfhbpz5g4ya.jpeg?q=70,['No features']
No title,No Product Price,No product Link,https://rukminim2.flixcart.com/image/612/612/xif0q/cycle/h/t/s/29-7-gear-shimano-double-disc-suspension-29-inch-tire-cycle-boys-original-imah5e4ye27y9zqw.jpeg?q=70,['No features']
No title,No Product Price,No product Link,https://rukminim2.flixcart.com/image/612/612/xif0q/cycle/b/j/t/hopper-jetpro-26t-blue-with-90-assembled-26-18-fastway-bicycle-original-imah3hzqh5ccakfx.jpeg?q=70,['No features']
